,Auteur,Identifiant auteur,Titre,Directeur de these,Directeur de these (nom prenom),Identifiant directeur,Etablissement de soutenance,Identifiant etablissement,Discipline,Statut,Date de premiere inscription en doctorat,Date de soutenance,Year,Langue de la these,Identifiant de la these,Accessible en ligne,Publication dans theses.fr,Mise a jour dans theses.fr,Discipline_prÃ©di,Genre,etablissement_rec,Langue_rec
707,Sabrina Laconi (Giorcelli),,Le combat radical de michel crepeau sous la cinquieme republique,Guy Martiniere,Martiniere Guy,27014061,La Rochelle,35375043,Histoire moderne et contemporaine,enCours,01-09-05,,,na,s35786,non,26-09-11,04-04-16,SHS,female,La Rochelle Université,NA
708,Claudia Gyss,,L'egyptomanie dans les arts graphiques en france de 1700 a 1814.,Martial Guedron,Guedron Martial,34890696,Strasbourg,131056549,Histoire de l'art,enCours,01-09-05,05-12-11,2011.0,na,s35808,non,26-09-11,05-04-16,SHS,female,Université de Strasbourg,NA
709,Emilie-padma Gouiller,,Cyberorientation professionnelle et accompagnement par alternances.,Gaston Pineau,Pineau Gaston,na,Tours,26404478,Sciences de l'education,enCours,01-12-05,16-11-12,2012.0,na,s35810,non,26-09-11,21-12-12,Biologie,female,Université de Tours,NA
710,Olivier Georgeon,,Analyse de traces d'activite pour la modelisation cognitive : application a la conduite automobile,Robert Martin,Martin Robert,na,Lyon 2,02640334X,Psychologie,enCours,01-12-05,19-02-08,2008.0,na,s35813,non,26-09-11,30-03-16,Psychologie,male,Université Lumière - Lyon 2,NA
711,Jean Graziani,,"La vallee du reginu (haute corse) dans le contexte corso-tyrrhenien, des origines a l'age du fer, etude microregionale.",Michel Weiss,Weiss Michel,na,Corte,29473284,Histoire ancienne,enCours,06-01-10,,,na,s37535,non,26-09-11,22-01-15,SHS,male,Université de Corse Pasquale Paoli,NA
712,Luca Carabetta,,Elio vittorini. cartographie de l'uvre,Giorgio Passerone,Passerone Giorgio,na,Lille 3,26404524,Etudes italiennes,enCours,01-10-10,,,na,s29275,non,26-09-11,03-04-16,Langues et Litteratures,male,Université de Lille,NA
713,Helene Chollet,,Les documents de planification en matiere d'environnement,Francois Priet,Priet Francois,33845662,Orleans,26402971,Droit public,enCours,16-10-08,,,na,s27920,non,26-09-11,05-04-16,Droit et Science Politique,female,Université d'Orléans,NA
714,Arnaud Colas,,Structure et rationalite des processus de pensee de l'auteur d'agressions sexuelles.,Michel Musiol,Musiol Michel,52844528,Universite de Lorraine,157040569,Psychologie,enCours,28-03-09,,,na,s27939,non,26-09-11,28-06-13,Psychologie,male,Université de Lorraine,NA
715,Francois Carre,,L'apprehension des energies renouvelables par le droit : elements pour une analyse transdisciplinaire,Catherine Roche,Roche Catherine,na,Poitiers,26403765,Droit public,enCours,01-04-09,,,na,s27995,non,26-09-11,04-05-12,Droit et Science Politique,unknown,Université de Poitiers,NA
716,Veronique Coq,,Les nouvelles fonctions de l'interet general dans la jurisprudence administrative.,Benoit Plessix,Plessix Benoit,60107774,Universite de Lorraine,157040569,Droit public,enCours,19-12-08,21-11-13,2013.0,na,s28002,non,26-09-11,05-04-16,Droit et Science Politique,female,Université de Lorraine,NA
717,Renee Del porto ortuzar,,La representation iconographique du drame liturgique (x-xii siecle).,Eric Palazzo,Palazzo Eric,30391474,Poitiers,26403765,Histoire de l'art,enCours,01-10-05,,,na,s29688,non,26-09-11,05-04-16,SHS,female,Université de Poitiers,NA
718,Elh ousmane Cisse,,Etude de la circulation migratoire des enfants mineurs 'non accompagnes' senegalais vers l'europe,"Patrick Gonin,Nelly Robin","Gonin Patrick,Robin Nelly",na,Poitiers,26403765,Geographie,enCours,30-11-09,,,na,s28363,non,26-09-11,22-01-15,SHS,unknown,Université de Poitiers,NA
719,Virginie Colaiuta,,L'ordre public procedural dans l'arbitrage international,Benedicte Fauvarque-Cosson,Fauvarque-Cosson Benedicte,34757953,Paris 2,26403145,Droit international,enCours,19-02-10,,,na,s28394,non,26-09-11,04-04-16,Droit et Science Politique,female,Université Panthéon-Assas,NA
720,Emmanuel Celeri,,La liberte individuelle dans la transmission de l'entreprise familiale.,Claude Saint didier,Saint didier Claude,na,Corte,29473284,Droit prive,enCours,19-02-10,,,na,s28396,non,26-09-11,22-01-15,Droit et Science Politique,male,Université de Corse Pasquale Paoli,NA
721,Linda Calderon,,L'elaboration d'une image plastique en corse depuis 1980 : entre perception et representation.,Dominique Salini,Salini Dominique,na,Corte,29473284,Sciences de l'art et esthetique,enCours,22-02-10,,,na,s28407,non,26-09-11,22-01-15,SHS,female,Université de Corse Pasquale Paoli,NA
722,Marie Chiozzotto,,Les apparences vestimentaires de deux souverains francais du siecle des lumieres. les garde-robes de louis xv et de louis xvi.,"Dominique Rosselle,Natacha Coquery","Rosselle Dominique,Coquery Natacha","994,639,970",Lille 3,26404524,Histoire,enCours,01-10-09,,,na,s28417,non,26-09-11,03-04-16,SHS,female,Université de Lille,NA
723,Alexandru Ciubatii,,Royaume de france-royaume de boheme : echanges economiques et echanges culturels entre le cur et la peripherie de la chretiente a la fin du moyen-age (xive-xve s.),"Bertrand Schnerb,Martin Nejedly","Schnerb Bertrand,Nejedly Martin","290,264,661",Lille 3,26404524,Histoire,enCours,01-10-09,,,na,s28418,non,26-09-11,03-04-16,SHS,male,Université de Lille,NA
724,Vichit Charadsooksawad,,L'application des sanctions administratives: etude comparee franco-thailandaise.,Sophie Theron,Theron Sophie,68768672,Toulouse 1,26404354,Droit public,enCours,15-03-10,,,na,s28445,non,26-09-11,05-04-16,Droit et Science Politique,unknown,Université Toulouse Capitole,NA
725,Kasem Comsatyadham,,L'action disciplinaire dans la fonction publique en thailande.,Florence Crouzatier-Durand,Crouzatier-Durand Florence,70488126,Toulouse 1,26404354,Droit public,enCours,15-03-10,,,na,s28446,non,26-09-11,05-04-16,Droit et Science Politique,male,Université Toulouse Capitole,NA
726,Mariam Kakouan,,Les problemes juridiques suscites par la gestion collective des droits intellectuels au burkina faso.,Philippe Gaudrat,Gaudrat Philippe,31483925,Poitiers,26403765,Droit prive,enCours,01-10-03,,,na,s41243,non,26-09-11,10-09-14,Droit et Science Politique,female,Université de Poitiers,NA
727,Maria Kiourktsoglou,,L'enseignement du francais en Grece de 1830 jusqu'en 1929 : le role de la grammaire,Teddy Arnavielle,Arnavielle Teddy,78661110,Montpellier 3,26404702,Sciences du langage,enCours,01-09-04,03-02-12,2012.0,na,s41277,non,26-09-11,22-01-13,Langues et Litteratures,female,Université Paul-Valéry - Montpellier 3,NA
728,Hiroko Kawakami-guijarro (Kawakami),,"L'ecriture et le sacre dans l'oeuvre de victor segalen : steles, odes, thibet, rene leys et feuilles de route.",Serge Bourjea,Bourjea Serge,29235634,Montpellier 3,26404702,Litteratures francaise et francophone,enCours,01-11-04,,,na,s41290,non,26-09-11,22-01-15,Langues et Litteratures,female,Université Paul-Valéry - Montpellier 3,NA
729,Laura Le roux (Knowlton),,Le corps et la norme dans la culture americaine (1865-1914).,Bernard Genton,Genton Bernard,30036003,Rennes 2,54447658,Etudes nord-americaines,enCours,01-11-04,,,na,s41294,non,26-09-11,22-01-15,Biologie,female,Université Rennes 2,NA
730,Sun young Kweon,,Vers un mandat darret international du contexte a sa mise en oeuvre,Andre Varinard,Varinard Andre,02831395X,Lyon 3,26404494,Droit penal et sciences criminelles,enCours,01-10-05,12-09-13,2013.0,na,s41303,non,26-09-11,04-04-16,Droit et Science Politique,andy,Université Jean Moulin - Lyon 3,NA
731,Astrid Kremer,,"Etude comparative et longitudinale de personnes avec autisme suivis par le programme ISSEES: Lien entre la regulation de l'activite, les fonctions neuropsychologiques, et la semiologie autistique et la trajectoire developpementale",Jean-Louis Adrien,Adrien Jean-Louis,34542507,Paris 5,26404788,Psychologie,enCours,01-09-05,28-11-09,2009.0,na,s41314,non,26-09-11,05-04-16,Psychologie,female,Université de Paris,NA
732,Ben hadj hassine Khelifia,,L'espace industriel dans le sahel oriental tunisien : la region de monastir,Jean-Paul Laborie,Laborie Jean-Paul,26957485,Toulouse 2,26403994,Geographie et Amenagement,enCours,01-01-05,15-11-05,2005.0,na,s41328,non,26-09-11,04-04-16,SHS,male,Université Toulouse - Jean Jaurès,NA
733,Mbisin Diagne,,Le developpement durable au sein des entreprises agrochimiques.,Mohamed Bayad,Bayad Mohamed,07513280X,Universite de Lorraine,157040569,Sciences de gestion,enCours,22-11-07,,,na,s31047,non,26-09-11,28-06-13,Economie Gestion,unknown,Université de Lorraine,NA
734,"Bozouzoua, larissa Dogbo",,Mythe et creation romanesque dans le roman de boubacar boris diop.,Alain-Michel Boyer,Boyer Alain-Michel,26748592,Nantes,26403447,Litteratures et civilisations comparees,enCours,29-05-08,,,na,s31057,non,26-09-11,05-04-16,Langues et Litteratures,unknown,Université de Nantes,NA
735,Christian De valence de minardiere,,"La republique des lettres en province, les savants d'orleans au tournant du xviieme siecle (1660 - 1730)",Jean-Pierre Vittu,Vittu Jean-Pierre,84266171,Orleans,26402971,Histoire,enCours,17-03-08,,,na,s31060,non,26-09-11,05-04-16,SHS,male,Université d'Orléans,NA
736,Julien Dufour,,Sociogenese de la construction de l'autorite d'une institution financiere : le cas de la banque centrale europenne.,"Frederic Lebaron,Joseph Romano","Lebaron Frederic,Romano Joseph",52572838,Universite de Lorraine,157040569,Sociologie,enCours,01-02-08,,,na,s31064,non,26-09-11,04-04-16,SHS,male,Université de Lorraine,NA
737,Rosa De marco,,Le langage des fetes jesuites dans les pays de langue francaise de la ratio studiorum de 1586 jusqu'a la fin du generalat de Muzio Vitelleschi (1645),Paulette Chone,Chone Paulette,na,Dijon,02819005X,"Archeologie, ethnologie, prehistoire",enCours,10-01-08,23-06-14,2014.0,na,s31118,non,26-09-11,24-06-15,SHS,female,Université de Bourgogne,NA
738,Annie Dor,,Tours et maisons de notables dans les villages du nord est de la corse moyen age tardif,Jean Cancellieri,Cancellieri Jean,na,Corte,29473284,"Etudes regionales (celtiques, corses, ...)",enCours,21-10-08,,,na,s31128,non,26-09-11,22-01-15,Langues et Litteratures,female,Université de Corse Pasquale Paoli,NA
739,Donatella Sala (Donati),,Etude et interpretation critique de la correspondance d'ugo foscolo,"Perette-Cecile Buffaria,Francesco Spera","Buffaria Perette-Cecile,Spera Francesco","704,128,200",Poitiers,26403765,Etudes italiennes,enCours,09-09-10,,,na,s32709,non,26-09-11,05-04-16,Langues et Litteratures,female,Université de Poitiers,NA
740,Romaine Didierjean,,La contribution des activites physiques et sportives a l'integration des populations migrantes. le cas des filles et des femmes issues de l'immigration turque. essai d'analyse comparative franco-allemande.,William Gasparini,Gasparini William,50803476,Strasbourg,131056549,Sciences du sport (staps),enCours,01-10-05,16-12-11,2011.0,na,s29694,non,26-09-11,16-01-12,Poubelle,female,Université de Strasbourg,NA
741,Juliette Danjon,,Apprentissage des proprietes formelles et fonctionnelles du langage ecrit: le cas ds doubles lettres en francais,Sebastien Pacton,Pacton Sebastien,148448860,Paris 5,26404788,Psychologie,enCours,01-09-05,23-11-09,2009.0,na,s29698,non,26-09-11,05-04-16,Psychologie,female,Université de Paris,NA
742,Alexandre Pabst (Dybal),,Les pratiques funeraires des populations indigenes aux premiers et deuxieme ages du fer en gaule.,Stephan Schmid,Schmid Stephan,na,Montpellier 3,26404702,Prehistoire et protohistoire,enCours,01-11-04,,,na,s29710,non,26-09-11,22-01-15,SHS,male,Université Paul-Valéry - Montpellier 3,NA
743,Giurka Gantcheva (Dimitrova),,Recherche de la difficulte de l'exercice en gymnastique rythmique et optimisation de la methodologie d'apprentissage.,"Jvon Deziart,Maria Mineva","Deziart Jvon,Mineva Maria",na,Rennes 2,54447658,Sciences du sport (staps),enCours,01-11-05,,,na,s29713,non,26-09-11,22-01-15,Poubelle,unknown,Université Rennes 2,NA
744,Mohamed-salah Derardja,,"Agresseur, victime, le pire pour le meilleur. violence de second type ou victimation secondaire ? une analyse psychocriminologique du phenomene de la violence de terreur en algerie.",Loick M. Villerbu,Villerbu Loick M.,32104286,Rennes 2,54447658,Psychologie,enCours,01-10-05,,,na,s29714,non,26-09-11,04-04-16,Psychologie,male,Université Rennes 2,NA
745,Kambiz Djalali,,S'appoprier l'etranger - La poesie classique persane dans l'espace franco-allemand au XIXe siecle.,Michel Espagne,Espagne Michel,28312848,Paris 8,26403552,Etudes germaniques,enCours,01-11-04,18-01-12,2012.0,na,s29757,non,26-09-11,04-04-16,SHS,male,Université Paris 8 - Vincennes - Saint-Denis,NA
746,David Doucet,,La perception du corps dans les arts visuels postmodernes.,Jean-Francois Pinchon,Pinchon Jean-Francois,28746090,Montpellier 3,26404702,Histoire de l'art,enCours,21-11-06,,,na,s30173,non,26-09-11,05-04-16,SHS,male,Université Paul-Valéry - Montpellier 3,NA
747,Julie Dubois,,L'intertexte joycien dans l'oeuvre d'italo svevo.,Guy Dugas,Dugas Guy,na,Montpellier 3,26404702,Litteratures et civilisations comparees,enCours,15-11-06,,,na,s30175,non,26-09-11,22-01-15,Langues et Litteratures,female,Université Paul-Valéry - Montpellier 3,NA
748,Elodie Gallet,,Mediatisation et mediation : le cas de la representation du conflit en Irlande du Nord a la television nationale britannique (1988-2005),Susan Finding,Finding Susan,112046436,Poitiers,26403765,Etudes anglophones,enCours,16-09-09,27-11-15,2015.0,na,s37566,non,26-09-11,22-02-16,Langues et Litteratures,female,Université de Poitiers,NA
749,Laurence Puissant (Grosjean),,L'analyse de la pratique de declaration des competences : 'le cas du lorfolio (e porfolio lorrain)'.,"Michel Sonntag,Isabelle Cherqui-Houot","Sonntag Michel,Cherqui-Houot Isabelle",05954046X,Universite de Lorraine,157040569,Sciences de l'education,enCours,06-01-10,,,na,s37570,non,26-09-11,05-04-16,Biologie,female,Université de Lorraine,NA
750,Catherine Geneste,,La culture de l'excellence dans les universites etats-uniennes : valeurs historiques et nouvelles strategies face a la crise,Andre Magord,Magord Andre,na,Poitiers,26403765,Etudes anglophones,enCours,10-12-09,,,na,s37573,non,26-09-11,26-01-12,Langues et Litteratures,female,Université de Poitiers,NA
751,Florence Grimaldi,,Les representations de napoleon dans la litterature britannique de la premiere moitie du xixeme siecle : les oeuvres de walter scott et de william hazlitt.,Francis Beretti,Beretti Francis,26720094,Corte,29473284,Etudes anglophones,enCours,11-02-10,,,na,s37620,non,26-09-11,22-01-15,Langues et Litteratures,female,Université de Corse Pasquale Paoli,NA
752,Philippe Girard,,"Essai de construction d'un modele de gestion politique de l'interculturalite 'integration et,ou communication' en terrain etranger : l'exemple des cadres d'entreprise et des militaires. l'evaluation des predispositions d'un militaire en mission dans un environnement multiculturel a etablir les conditions d'une integration ou d'une communication en terrain etranger et potentiellement hostile.",Anne Mandeville-briot,Mandeville-briot Anne,na,Toulouse 1,26404354,Science politique,enCours,09-02-10,,,na,s37632,non,26-09-11,22-01-15,Droit et Science Politique,male,Université Toulouse Capitole,NA
753,Leila Hosni,,Les predicats anaphoriques en francais.,Salah Mejri,Mejri Salah,67149510,Paris 13,02640463X,Sciences du langage,enCours,08-01-08,22-06-12,2012.0,na,s39318,non,26-09-11,23-10-13,Langues et Litteratures,female,Université Sorbonne Paris Nord,NA
754,Ysens De france (De la panouse),,Un nouveau champ juridique : les robots dans les conflits armes,Jean-Paul Pancracio,Pancracio Jean-Paul,29474310,Poitiers,26403765,Droit public,enCours,16-02-11,,,na,s32729,non,26-09-11,05-04-16,Droit et Science Politique,unknown,Université de Poitiers,NA
755,Anna Delaiti,,Le theatre symphonique de matteo belli : une voix hors du chur,"Giorgio Passerone,Paola daniela Giovanelli","Passerone Giorgio,Giovanelli Paola daniela",na,Lille 3,26404524,Etudes italiennes,enCours,01-10-10,,,na,s32736,non,26-09-11,03-04-16,Langues et Litteratures,female,Université de Lille,NA
756,Caroline Derache,,Autonomie privee et conflits de juridictions,"Andre Giudicelli,Francois-Xavier Morisset","Giudicelli Andre,Morisset Francois-Xavier",79497144,La Rochelle,35375043,Droit prive,enCours,30-03-10,,,na,s32746,non,26-09-11,05-04-16,Droit et Science Politique,female,La Rochelle Université,NA
757,Soraya Minot (De moura freire),,Les representations et la realite de la parentalite chez les jeunes femmes ayant vecu l'inceste selon les modalites de prise en charge.,Regine Scelles,Scelles Regine,35485809,Rouen,26403919,Psychologie,enCours,13-01-11,07-07-14,2014.0,na,s32764,non,26-09-11,04-04-16,Psychologie,female,Université de Rouen Normandie,NA
758,Mahmoud Dibo,,"Le karst des plateaux calcaires du bassin lorrain triasique et liasique. son originalite, sa genese et ses relations avec l'incision des vallees.",Dominique Harmand,Harmand Dominique,na,Universite de Lorraine,157040569,Geographie physique,enCours,04-02-09,,,na,s31496,non,26-09-11,28-06-13,SHS,male,Université de Lorraine,NA
759,Remi Deslyper,,La transformation du musicien : une etude de l'institutionnalisation de l'enseignement des musiques amplifiees,Sylvia Faure,Faure Sylvia,52264025,Lyon 2,02640334X,Sociologie,enCours,01-10-08,29-03-13,2013.0,na,s31522,non,26-09-11,30-03-16,SHS,male,Université Lumière - Lyon 2,NA
760,Djaffar Dahiri,,Approche sociologique du mouvement citoyen de la kabylie de 2001-2007.,Joseph Romano,Romano Joseph,na,Universite de Lorraine,157040569,Sociologie,enCours,09-10-08,,,na,s31525,non,26-09-11,28-06-13,SHS,unknown,Université de Lorraine,NA
761,Adelaide Daraspe,,Construction identitaire et alimentation au pays basque du xviiie siecle a nos jours.,Isabelle Bianquis,Bianquis Isabelle,na,Tours,26404478,Anthropologie,enCours,11-03-10,,,na,s32016,non,26-09-11,22-01-15,SHS,female,Université de Tours,NA
762,Mohamed nasser Harkat,,Commitment to consumer choice,Dominique Crie,Crie Dominique,68721439,Lille 1,26404184,Sciences de gestion,enCours,10-02-09,,,na,s39336,non,26-09-11,05-04-16,Economie Gestion,male,Université de Lille,NA
763,Issam Hajji,,Changement paysager dans le nord de la tunisie : evolution anthropique et changement climatique ?,"Jean-Marie Miossec,Freddy Vinet","Miossec Jean-Marie,Vinet Freddy","605,965,110",Montpellier 3,26404702,Geographie,enCours,17-09-08,,,na,s39359,non,26-09-11,04-04-16,SHS,male,Université Paul-Valéry - Montpellier 3,NA
764,Leria Franceschini,,La mise en valeur du patrimoine archeologique prehistorique et protohistorique de la corse propositions en fonction des realites archeologiques et des specificites des differentes zones naturelles de 'ile.,"Michel Weiss,F. Lorenzi","Weiss Michel,Lorenzi F.",na,Corte,29473284,Archeologie,enCours,24-10-05,,,na,s34431,non,26-09-11,22-01-15,SHS,unknown,Université de Corse Pasquale Paoli,NA
765,Pierre joseph Ferrali,,La litterature corse contemporaine : entre tradition d'oraliture et modernite. etude et comparaison avec les theories de la creolite.,Jacques Thiers,Thiers Jacques,29734258,Corte,29473284,"Etudes regionales (celtiques, corses, ...)",enCours,08-11-06,,,na,s34434,non,26-09-11,22-01-15,Langues et Litteratures,male,Université de Corse Pasquale Paoli,NA
766,Alexandre Filippi,,La langue corse dans l'audiovisuel public : dire la langue ou une langue pour dire ?,Jacques Thiers,Thiers Jacques,29734258,Corte,29473284,"Etudes regionales (celtiques, corses, ...)",enCours,07-02-07,,,na,s34435,non,26-09-11,22-01-15,Langues et Litteratures,male,Université de Corse Pasquale Paoli,NA
767,Gabriel Figueiredo De Oliveira,,"Efficience portuaire, couts de transport et commerce international : les determinants du cout du transport maritime et leur impact sur les echanges.",Nicolas Peridy,Peridy Nicolas,31402968,Nantes,26403447,Sciences economiques,enCours,11-10-06,29-11-11,2011.0,na,s34444,non,26-09-11,15-12-11,Economie Gestion,male,Université de Nantes,NA
768,Christine Dattin (Fournes),,Du Code de Commerce de 1807 a la loi de 1966 : la lente emergence du commissariat aux comptes : de la fonction a la profession,Yannick Lemarchand,Lemarchand Yannick,33499209,Nantes,26403447,Sciences de gestion,enCours,15-11-06,07-11-12,2012.0,na,s34445,non,26-09-11,04-04-16,Economie Gestion,female,Université de Nantes,NA
769,Roland Frias,,Role createur et portee culturelle des medias en domaine corse.,Georges Moracchini,Moracchini Georges,34999779,Corte,29473284,Sciences du langage,enCours,23-11-07,,,na,s34454,non,26-09-11,22-01-15,Langues et Litteratures,male,Université de Corse Pasquale Paoli,NA
770,Benoit Forgeot,,"Les developpements de la pensee de nietzsche chez canguilhem, foucault et deleuze",Jean-Claude Bourdin,Bourdin Jean-Claude,32088043,Poitiers,26403765,"Philosophie (metaphysique, epistemologie, esthetique)",enCours,22-11-07,,,na,s34462,non,26-09-11,04-04-16,SHS,unknown,Université de Poitiers,NA
771,Ksenya Filatova,,L'evolution des metaphores conceptuelles basees sur la perception de la lumiere,"Pierre Cadiot,Valentin Tomachpolski","Cadiot Pierre,Tomachpolski Valentin",na,Orleans,26402971,Sciences du langage,enCours,18-10-07,,,na,s34472,non,26-09-11,22-01-15,Langues et Litteratures,female,Université d'Orléans,NA
772,Linda Fauchard,,"L'imaginaire du lecteur, une instance fondamentale du dispositif de lecture et de la reconfiguration de l'oeuvre.",Annie Rouxel,Rouxel Annie,34812229,Rennes 2,54447658,Litteratures francaise et francophone,enCours,08-11-07,,,na,s34482,non,26-09-11,22-01-15,Langues et Litteratures,female,Université Rennes 2,NA
773,Jean-marc De moy,,L'exception en droit prive.,Richard Desgorces,Desgorces Richard,116045736,Rennes 1,02778715X,Droit prive,enCours,01-01-05,,,na,s29347,non,26-09-11,22-01-15,Droit et Science Politique,male,Université de Rennes 1,NA
774,Desire Embogo,,Dynamique entrepreneuriale dans le secteur touristique au cameroun,Alain Capiez,Capiez Alain,26765888,Angers,26402920,Sciences de gestion,enCours,01-12-06,,,na,s33185,non,26-09-11,22-01-15,Economie Gestion,female,Université d'Angers,NA
775,Jean michel Evin,,Intercommunalite et espaces urbains : le projet de territoire comme moteur des valeurs d'efficacite et de solidarite.,Jean-Marie Miossec,Miossec Jean-Marie,60596511,Montpellier 3,26404702,Geographie et amenagement de l'espace,enCours,11-12-06,,,na,s33191,non,26-09-11,04-04-16,SHS,male,Université Paul-Valéry - Montpellier 3,NA
776,Charlotte Ekwelgen (Essebe),,Ev aluation du niveau en orthographe francais en fin de 1er cycle du secondaire au Cameroun,Jean pierre Benoit,Benoit Jean pierre,na,Nantes,26403447,Sciences de l'education,enCours,21-03-07,19-05-14,2014.0,na,s33219,non,26-09-11,18-07-14,Biologie,female,Université de Nantes,NA
777,Rachel Ney (Eustache),,Une question de vie et de mort - la conscience malheureuse chez cormac mccarthy et yves berger,"Andre Kaenel,Co tutelle En cours","Kaenel Andre,En cours Co tutelle",32459416,Universite de Lorraine,157040569,Etudes anglophones,enCours,21-12-06,,,na,s33230,non,26-09-11,05-04-16,Langues et Litteratures,female,Université de Lorraine,NA
778,Walid El Moghrabi,,Les reflets des nouveaux moyens de reglements des conflits sur l'organisation juridique du contrat de transport maritime des marchandises,Dusan Kitic,Kitic Dusan,34906010,Poitiers,26403765,Droit prive,enCours,08-11-06,,,na,s33254,non,26-09-11,03-05-12,Droit et Science Politique,male,Université de Poitiers,NA
779,Fadi El skaff,,L'assassinat politique et le terrorisme au liban,Jean-paul Jean,Jean Jean-paul,na,Poitiers,26403765,Droit penal et sciences criminelles,enCours,16-10-06,11-04-11,2011.0,na,s33255,non,26-09-11,28-03-12,Droit et Science Politique,male,Université de Poitiers,NA
780,Stella Emmanuelli,,Produits agricoles et territoire de vie : une reapprobation a organiser.,"Yann Bertacchini,Dumenica Verdoni","Bertacchini Yann,Verdoni Dumenica","723,017,400",Corte,29473284,Sciences de l'information et de la communication,enCours,13-12-05,,,na,s33262,non,26-09-11,05-04-16,SHS,female,Université de Corse Pasquale Paoli,NA
781,Antoine El feghali,,Logistique et gestion des ressources humaines : le cas du liban.,Jean-Marie Peretti,Peretti Jean-Marie,27064867,Corte,29473284,Sciences de gestion,enCours,15-12-06,,,na,s33264,non,26-09-11,04-04-16,Economie Gestion,male,Université de Corse Pasquale Paoli,NA
782,Valerie Capdevielle-hounieu-berducou,,Jorge semprun ou comment se dire autrement dans la langue francaise,Christiane Albert,Albert Christiane,57655499,Pau,26403668,Litteratures francaise et francophone,enCours,02-06-09,,,na,s28021,non,26-09-11,22-01-15,Langues et Litteratures,female,Université de Pau et des Pays de l'Adour,NA
783,Feten Elechheb,,Influence des modes de reponses sur une dote-probe-task emotionnelle,Stephane Rusinek,Rusinek Stephane,68766742,Lille 3,26404524,Psychologie,enCours,01-10-09,,,na,s33634,non,26-09-11,04-04-16,Psychologie,unknown,Université de Lille,NA
784,Suzanne El hage,,"Activites TICE, interactions langagieres en classe et coherence des sequences d'enseignement scientifiques.","Jean-francois Le marechal,Christian Buty","Le marechal Jean-francois,Buty Christian",na,Lyon 2,02640334X,Sciences de l'education,enCours,10-11-09,06-11-12,2012.0,na,s33636,non,26-09-11,04-04-16,Biologie,female,Université Lumière - Lyon 2,NA
785,Persis lionel Essono ondo,,Le role de la juridiction competente dans la prevention et le traitement precoce des difficultes des entreprises : analyse des pratiques juridiques en france et dans l'espace ohada.,"Francois Jacquot,Jean-claude James","Jacquot Francois,James Jean-claude",na,Universite de Lorraine,157040569,Droit prive,enCours,14-01-10,,,na,s33639,non,26-09-11,28-06-13,Droit et Science Politique,unknown,Université de Lorraine,NA
786,Khalid El-mellahi,,Developpement et pilotage de reseaux pluri-institutionnels de management environnemental : le cas de la strategie gouvernementale du developpement durable du quebec.,Daniel Leroy,Leroy Daniel,na,Tours,26404478,Sciences de gestion,enCours,11-03-10,,,na,s33642,non,26-09-11,21-04-15,Economie Gestion,male,Université de Tours,NA
787,Fawzia Shenshen (El agili),,Le developpement des competences personnelles chez les enfants autistes (a tripoli) en Libye.,Rene Pry,Pry Rene,59821183,Montpellier 3,26404702,Psychologie,enCours,09-02-10,,,na,s33644,non,26-09-11,04-04-16,Psychologie,female,Université Paul-Valéry - Montpellier 3,NA
788,Marie-pierre Etien,,Alimentation et migration. construction des identites alimentaires des migrants par acculturation,Jean-Pierre Poulain,Poulain Jean-Pierre,28314603,Toulouse 2,26403994,Sociologie,enCours,01-10-09,,,na,s33646,non,26-09-11,04-04-16,SHS,female,Université Toulouse - Jean Jaurès,NA
789,Nada Abboud (Estephan),,La lex mercatoria et l'arbitrage international.,Eddy Lamazerolles,Lamazerolles Eddy,74240749,Poitiers,26403765,Droit prive,enCours,01-10-09,,,na,s33651,non,26-09-11,04-05-12,Droit et Science Politique,female,Université de Poitiers,NA
790,Emmanuelle Eymard,,Autour de la notion divoirite Participation de quelques ecrivains a la crise politique de Cote dIvoire.,Xavier Garnier,Garnier Xavier,na,Paris 13,02640463X,Litteratures et civilisations comparees,enCours,06-11-08,08-12-14,2014.0,na,s33653,non,26-09-11,03-04-15,Langues et Litteratures,female,Université Sorbonne Paris Nord,NA
791,Mohamad El haj,,Controle de la source en memoire episodique et fonctionnement executif : une etude dans le vieillissement normal et la maladie d'alzheimer,Phillipe Allain,Allain Phillipe,na,Angers,26402920,Psychologie,enCours,01-10-09,07-12-12,2012.0,na,s33699,non,26-09-11,01-02-13,Psychologie,male,Université d'Angers,NA
792,Ghjuvanna Gambini-paolacci,,"Les strategies identitaires du theatre en langue corse au cours du vingtieme siecle : figures, motifs, lieux symboliques.",Dumenica Verdoni,Verdoni Dumenica,75937093,Corte,29473284,"Etudes regionales (celtiques, corses, ...)",enCours,01-11-05,,,na,s35869,non,26-09-11,05-04-16,Langues et Litteratures,unknown,Université de Corse Pasquale Paoli,NA
793,Katarzyna Gan-krzywoszynska (Gan),,Structures progressives de la dynamique de la science. le modele d'integration de jules vuillemin.,Roger Pouivet,Pouivet Roger,50132385,Universite de Lorraine,157040569,"Philosophie (metaphysique, epistemologie, esthetique)",enCours,01-01-06,,,na,s35911,non,26-09-11,28-06-13,SHS,female,Université de Lorraine,NA
